url,nat,cap,survived
/titanic-survivor/elisabeth-walton-allen.html,American,Washington,survived
/titanic-survivor/harry-anderson.html,American,Washington,survived
/titanic-survivor/kornelia-theodosia-andrews.html,American,Washington,survived
/titanic-survivor/charlotte-appleton.html,American,Washington,survived
/titanic-survivor/madeleine-talmage-astor.html,American,Washington,survived
/titanic-victim/john-jacob-astor.html,American,Washington,died
/titanic-victim/john-d-baumann.html,American,Washington,died
/titanic-survivor/richard-leonard-beckwith.html,American,Washington,survived
/titanic-survivor/sallie-beckwith.html,American,Washington,survived
/titanic-survivor/karl-howell-behr.html,American,Washington,survived
/titanic-survivor/nellie-bessette.html,American,Washington,survived
/titanic-survivor/dickinson-bishop.html,American,Washington,survived
/titanic-survivor/helen-bishop.html,American,Washington,survived
/titanic-victim/stephen-weart-blackwell.html,American,Washington,died
/titanic-survivor/henry-blank.html,American,Washington,survived
/titanic-survivor/caroline-bonnell.html,American,Washington,survived
/titanic-survivor/grace-scott-bowen.html,American,Washington,survived
/titanic-victim/john-bertram-brady.html,American,Washington,died
/titanic-victim/emil-brandeis.html,American,Washington,died
/titanic-survivor/george-brereton.html,American,Washington,survived
/titanic-survivor/molly-brown.html,American,Washington,survived
/titanic-survivor/caroline-lane-brown.html,American,Washington,survived
/titanic-survivor/emma-bucknell.html,American,Washington,survived
/titanic-survivor/elizabeth-burns.html,American,Washington,survived
/titanic-victim/archibald-butt.html,American,Washington,died
/titanic-survivor/edward-pennington-calderhead.html,American,Washington,survived
/titanic-survivor/helen-churchill-candee.html,American,Washington,survived
/titanic-survivor/thomas-cardeza.html,American,Washington,survived
/titanic-survivor/charlotte-cardeza.html,American,Washington,survived
/titanic-survivor/william-thornton-carter.html,American,Washington,survived
/titanic-survivor/lucile-carter.html,American,Washington,survived
/titanic-survivor/lucile-polk-carter.html,American,Washington,survived
/titanic-survivor/william-carter.html,American,Washington,survived
/titanic-victim/howard-case.html,American,Washington,died
/titanic-survivor/eleanor-cassebeer.html,American,Washington,survived
/titanic-survivor/julia-florence-cavendish.html,American,Washington,survived
/titanic-victim/herbert-fuller-chaffee.html,American,Washington,died
/titanic-survivor/carrie-constance-chaffee.html,American,Washington,survived
/titanic-survivor/norman-campbell-chambers.html,American,Washington,survived
/titanic-survivor/bertha-chambers.html,American,Washington,survived
/titanic-survivor/virginia-clark.html,American,Washington,survived
/titanic-victim/walter-miller-clark.html,American,Washington,died
/titanic-victim/george-quincy-clifford.html,American,Washington,died
/titanic-victim/alexander-taylor-compton.html,American,Washington,died
/titanic-survivor/mary-eliza-compton.html,American,Washington,survived
/titanic-survivor/sara-rebecca-compton.html,American,Washington,survived
/titanic-survivor/malvina-helen-cornell.html,American,Washington,survived
/titanic-victim/john-bertram-crafton.html,American,Washington,died
/titanic-victim/edward-gifford-crosby.html,American,Washington,died
/titanic-survivor/harriette-rebecca-crosby.html,American,Washington,survived
/titanic-survivor/catherine-elizabeth-crosby.html,American,Washington,survived
/titanic-victim/john-bradley-cumings.html,American,Washington,died
/titanic-survivor/florence-briggs-cumings.html,American,Washington,survived
/titanic-survivor/robert-williams-daniel.html,American,Washington,survived
/titanic-survivor/ruth-dodge.html,American,Washington,survived
/titanic-survivor/washington-dodge-jr.html,American,Washington,survived
/titanic-survivor/washington-dodge.html,American,Washington,survived
/titanic-victim/walter-donald-douglas.html,American,Washington,died
/titanic-survivor/mahala-douglas.html,American,Washington,survived
/titanic-victim/william-crothers-dulles.html,American,Washington,died
