url,ticket,nat,home,job
/titanic-survivor/elisabeth-walton-allen.html,24160,American,"St. Louis, Missouri, United States",
/titanic-victim/hudson-joshua-creighton.html,113781,Canadian,"Montréal, Québéc, Canada",Businessman
/titanic-survivor/trevor-allison.html,113781,Canadian,"Montréal, Québéc, Canada",
/titanic-victim/bessie-waldo-allison.html,113781,Canadian,"Montréal, Québéc, Canada",
/titanic-victim/loraine-allison.html,113781,Canadian,"Montréal, Québéc, Canada",
/titanic-survivor/harry-anderson.html,19952,American,"New York City, New York, United States",Stockbroker
/titanic-survivor/kornelia-theodosia-andrews.html,13502,American,"Hudson, New York, United States",
/titanic-victim/thomas-andrews.html,112050,Irish,"Belfast, Ireland",Shipbuilder
/titanic-survivor/charlotte-appleton.html,11769,American,"New York City, New York, United States",
/titanic-victim/ramon-artagaveytia.html,17609,Uruguayan,"Buenos Aires, Pampas, Argentina",Businessman
/titanic-survivor/madeleine-talmage-astor.html,17757,American,"New York City, New York, United States",
/titanic-victim/john-jacob-astor.html,17757,American,"New York City, New York, United States",Property Developer / Real Estate
/titanic-survivor/leontine-pauline-aubart.html,17477,French,"17 Le Seuer Street Paris, France",Singer
/titanic-survivor/ellen-nellie-barber.html,19877,English,,Personal Maid       to Mrs Julia Florence Cavendish
/titanic-survivor/algernon-barkworth.html,27042,English,"Hessle, Yorkshire, England",Justice of the Peace
/titanic-survivor/albina-bazzani.html,11813,Italian,,Personal Maid       to Mrs Emma Eliza Bucknell
/titanic-victim/john-d-baumann.html,17318,American,"New York City, New York, United States",Businessman
/titanic-survivor/helene-baxter.html,17558,Canadian,"Montréal, Québéc, Canada",
/titanic-victim/quigg-baxter.html,17558,Canadian,"Montréal, Québéc, Canada",
/titanic-victim/thomson-beattie.html,13050,Canadian,"560 River Avenue Winnipeg, Manitoba, Canada",Landowner
/titanic-survivor/richard-leonard-beckwith.html,11751,American,"New York City, New York, United States",
/titanic-survivor/sallie-beckwith.html,11751,American,"New York City, New York, United States",
/titanic-survivor/karl-howell-behr.html,111369,American,"New York City, New York, United States",
/titanic-survivor/nellie-bessette.html,17760,American,,Personal Maid       to Mrs Ella White
/titanic-survivor/rosalie-bidois.html,17757,Channel Islander,,Personal Maid       to Mrs Madeleine Talmage Astor
/titanic-survivor/ellen-bird.html,17483,English,,Personal Maid       to Mrs Rosalie Ida Straus
/titanic-victim/jakob-birnbaum.html,13905,Polish,"San Francisco, California, United States",
/titanic-survivor/dickinson-bishop.html,11967,American,"Dowagiac, Michigan, United States",
/titanic-survivor/helen-bishop.html,11967,American,"Dowagiac, Michigan, United States",
/titanic-survivor/mauritz-hakan-bjornstrom-steffansson.html,110564,Swedish,"Stockholm, Uppland, Sweden",Businessman
/titanic-victim/stephen-weart-blackwell.html,113784,American,"Trenton, New Jersey, United States",
/titanic-survivor/henry-blank.html,112277,American,"Glen Ridge, New Jersey, United States",Jeweller
/titanic-survivor/caroline-bonnell.html,36928,American,"Youngstown, Ohio, United States",
/titanic-survivor/elizabeth-bonnell.html,113783,English,"Birkdale, Merseyside, England",
/titanic-victim/john-james-borebank.html,110489,"English
 Canadian","London, England",Property Developer / Real Estate
/titanic-survivor/grace-scott-bowen.html,17608,American,"Cooperstown, New York, United States",Governess
/titanic-survivor/elsie-edith-bowerman.html,113505,English,"St. Leonards-on-Sea, Sussex, England",
/titanic-victim/john-bertram-brady.html,113054,American,"Pomeroy, Washington, United States",
/titanic-victim/emil-brandeis.html,17591,American,"Omaha, Nebraska, United States",
/titanic-survivor/george-brereton.html,111427,American,"Los Angeles, California, United States",
/titanic-victim/arthur-jackson-brewe.html,112379,Irish,"1812 58th Street Philadelphia, Pennsylvania, United States",
/titanic-survivor/molly-brown.html,17610,American,"Denver, Colorado, United States",Socialite
/titanic-survivor/caroline-lane-brown.html,11769,American,"Belmont, Massachusetts, United States",
/titanic-survivor/emma-bucknell.html,11813,American,"Philadelphia, Pennsylvania, United States",
/titanic-survivor/elizabeth-burns.html,16966,American,,Nursemaid       to Master Robert Douglas Spedden
/titanic-victim/archibald-butt.html,113050,American,"Washington DC, United States",Military
/titanic-victim/alexander-cairns.html,113798,Scottish,,Servant       to Mr William Ernest Carter
/titanic-survivor/edward-pennington-calderhead.html,17476,American,"New York City, New York, United States",
/titanic-survivor/helen-churchill-candee.html,17606,American,"Washington DC, United States",Writer
/titanic-survivor/thomas-cardeza.html,17755,American,"Germantown, Pennsylvania, United States",Gentleman
/titanic-survivor/charlotte-cardeza.html,17755,American,"Germantown, Pennsylvania, United States",
