candidat,parti,photo,color
Nathalie LOISEAU,"RENAISSANCE SOUTENUE PAR LA RÉPUBLIQUE EN MARCHE, LE MODEM ET SES PARTENAIRES",nathalie_loiseau.png,#EFC29D
Jordan BARDELLA,"PRENEZ LE POUVOIR, LISTE SOUTENUE PAR MARINE LE PEN",jordan_bardella.png,#91BAFB
François-Xavier BELLAMY,UNION DE LA DROITE ET DU CENTRE,francois-xavier_bellamy.png,#9AD2F6
Yannick JADOT,EUROPE ÉCOLOGIE,yannick_jadot.png,#9AD2F6
Benoît HAMON,LISTE CITOYENNE DU PRINTEMPS EUROPÉEN AVEC BENOÎT HAMON SOUTENUE PAR GÉNÉRATION.S ET DÈME-DIEM 25,benoit_hamon.png,#E97DBD
Raphaël GLUCKSMANN,ENVIE D'EUROPE ÉCOLOGIQUE ET SOCIALE,raphael_glucksmann.png,#E97DBD
Manon AUBRY,LA FRANCE INSOUMISE,manon_aubry.png,#EF9E9E
Jean-Christophe LAGARDE,LES EUROPÉENS,jean-christophe_lagarde.png,#EFC29D
Hélène THOUY,PARTI ANIMALISTE,helene_thouy.png,#C8C8C8
Dominique BOURG,URGENCE ÉCOLOGIE,dominique_bourg.png,#95E97B
Nicolas DUPONT-AIGNAN,LE COURAGE DE DÉFENDRE LES FRANÇAIS AVEC NICOLAS DUPONT-AIGNAN. DEBOUT LA FRANCE ! - CNIP,nicolas_dupont-aignan.png,#69A0FA
Florian PHILIPPOT,"ENSEMBLE PATRIOTES ET GILETS JAUNES : POUR LA FRANCE, SORTONS DE L'UNION EUROPÉENNE !",florian_philippot.png,#B4B4B4
Olivier BIDOU,"LES OUBLIÉS DE L'EUROPE - ARTISANS, COMMERÇANTS, PROFESSIONS LIBÉRALES ET INDÉPENDANTS - ACPLI -",olivier_bidou.png,#B4B4B4
Francis LALANNE,"ALLIANCE JAUNE, LA RÉVOLTE PAR LE VOTE",francis_lalanne.png,#B4B4B4
François ASSELINEAU,ENSEMBLE POUR LE FREXIT,francois_asselineau.png,#69A0FA
Christophe CHALENÇON,ÉVOLUTION CITOYENNE,christophe_chalencon.png,#B4B4B4
Pierre DIEUMEGARD,ESPÉRANTO - LANGUE COMMUNE ÉQUITABLE POUR L'EUROPE,pierre_dieumegard.png,#B4B4B4
Antonio SANCHEZ,PARTI RÉVOLUTIONNAIRE COMMUNISTES,antonio_sanchez.png,#E97B7B
Cathy Denise Ginette CORBET,NEUTRE ET ACTIF,cathy_denise_ginette_corbet.png,#B4B4B4
Christian Luc PERSON,UDLEF (UNION DÉMOCRATIQUE POUR LA LIBERTÉ ÉGALITÉ FRATERNITÉ),christian_luc_person.png,#B4B4B4
Nathalie ARTHAUD,"LUTTE OUVRIÈRE - CONTRE LE GRAND CAPITAL, LE CAMP DES TRAVAILLEURS",nathalie_arthaud.png,#E97B7B
Nathalie TOMASINI,À VOIX ÉGALES,nathalie_tomasini.png,#B4B4B4
Ian BROSSAT,POUR L'EUROPE DES GENS CONTRE L'EUROPE DE L'ARGENT,ian_brossat.png,#E97B7B
Robert DE PREVOISIN,UNE FRANCE ROYALE AU COEUR DE L'EUROPE,robert_de_prevoisin.png,#69A0FA
Thérèse DELFEL,DÉCROISSANCE 2019,therese_delfel.png,#95E97B
Sophie CAILLAUD,ALLONS ENFANTS,sophie_caillaud.png,#B4B4B4
Gilles HELGEN,MOUVEMENT POUR L'INITIATIVE CITOYENNE,gilles_helgen.png,#B4B4B4
Yves GERNIGON,PARTI FÉDÉRALISTE EUROPÉEN - POUR UNE EUROPE QUI PROTÈGE SES CITOYENS,yves_gernigon.png,#B4B4B4
Vincent VAUCLIN,LISTE DE LA RECONQUÊTE,vincent_vauclin.png,#69A0FA
Audric ALEXANDRE,PACE - PARTI DES CITOYENS EUROPÉENS,audric_alexandre.png,#B4B4B4
Hamada TRAORÉ,DÉMOCRATIE REPRÉSENTATIVE,hamada_traore.png,#B4B4B4
Florie MARIE,PARTI PIRATE,florie_marie.png,#B4B4B4
Renaud CAMUS,LA LIGNE CLAIRE,renaud_camus.png,#69A0FA
Nagib AZERGUI,UNE EUROPE AU SERVICE DES PEUPLES,nagib_azergui.png,#B4B4B4
