ville,lien,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aast (64460),/management/ville/aast/ville-64001,7.5,7.3,7.3,6.7,6.1,7.5,7.6,7.4,7.8,8.3,8.3,8.6,8.1
Abainville (55130),/management/ville/abainville/ville-55001,8.5,9.6,10.0,9.7,8.5,10.2,10.6,10.1,11.1,12.1,11.3,11.7,11.1
Abancourt (59268),/management/ville/abancourt/ville-59001,9.4,9.7,10.5,9.5,9.3,11.6,11.3,11.2,11.9,13.0,12.4,12.7,12.3
Abaucourt (54610),/management/ville/abaucourt/ville-54001,7.4,7.6,8.1,7.2,6.5,8.1,8.4,8.2,8.9,9.6,9.2,9.7,9.3
Abaucourt-Hautecourt (55400),/management/ville/abaucourt-hautecourt/ville-55002,8.3,8.9,9.9,9.1,8.4,10.6,10.2,10.3,11.1,11.9,11.2,11.3,10.6
Abbans-Dessous (25320),/management/ville/abbans-dessous/ville-25001,6.9,7.2,7.4,6.8,6.2,8.2,8.1,7.4,7.8,8.4,8.1,8.5,8.1
Abbans-Dessus (25440),/management/ville/abbans-dessus/ville-25002,6.9,7.2,7.4,6.8,6.2,8.2,8.1,7.4,7.8,8.4,8.1,8.5,8.1
Abbaretz (44170),/management/ville/abbaretz/ville-44001,7.4,7.4,7.3,6.6,5.7,7.5,7.6,7.1,7.5,8.2,8.1,8.6,7.9
Abbécourt (02300),/management/ville/abbecourt/ville-02001,11.5,12.0,12.3,10.7,10.3,13.6,13.3,13.2,15.1,15.7,15.2,15.5,15.2
Abbecourt (60430),/management/ville/abbecourt/ville-60002,8.0,8.3,8.4,7.6,6.9,9.3,9.2,8.5,9.3,10.4,10.3,10.5,10.0
Abbenans (25340),/management/ville/abbenans/ville-25003,9.4,9.5,10.8,9.4,8.3,11.6,11.2,10.2,11.2,12.5,12.2,12.3,11.3
Abbeville (80100),/management/ville/abbeville/ville-80001,9.7,9.5,10.5,9.2,8.9,11.0,10.5,10.2,11.3,12.2,11.6,11.9,11.8
Abbéville-la-Rivière (91150),/management/ville/abbeville-la-riviere/ville-91001,6.2,6.3,6.3,5.2,4.8,6.0,6.6,6.4,6.9,7.6,7.4,7.6,7.3
Abbéville-lès-Conflans (54800),/management/ville/abbeville-les-conflans/ville-54002,7.4,7.7,8.1,7.5,6.7,9.3,9.2,8.9,9.6,10.5,10.2,10.3,9.7
Abbeville-Saint-Lucien (60480),/management/ville/abbeville-saint-lucien/ville-60003,8.0,8.3,8.4,7.6,6.9,9.3,9.2,8.5,9.3,10.4,10.3,10.5,10.0
Abbévillers (25310),/management/ville/abbevillers/ville-25004,9.4,9.5,10.8,9.4,8.3,11.6,11.2,10.2,11.2,12.5,12.2,12.3,11.3
Abeilhan (34290),/management/ville/abeilhan/ville-34001,11.4,11.5,11.6,11.2,10.7,13.1,13.3,13.2,14.4,15.2,15.1,15.0,14.5
Abelcourt (70300),/management/ville/abelcourt/ville-70001,6.7,7.4,8.0,7.1,6.6,9.2,8.5,7.9,9.0,10.0,9.8,9.7,8.7
Abère (64160),/management/ville/abere/ville-64002,7.5,7.3,7.3,6.7,6.1,7.5,7.6,7.4,7.8,8.3,8.3,8.6,8.1
Abergement-la-Ronce (39500),/management/ville/abergement-la-ronce/ville-39001,7.0,7.2,7.7,6.6,6.5,9.0,8.4,7.8,8.4,9.2,8.7,9.2,8.7
Abergement-le-Grand (39600),/management/ville/abergement-le-grand/ville-39002,5.5,5.7,6.0,5.2,5.0,6.8,6.7,5.9,6.1,6.7,6.4,6.8,6.6
Abergement-le-Petit (39800),/management/ville/abergement-le-petit/ville-39003,5.5,5.7,6.0,5.2,5.0,6.8,6.7,5.9,6.1,6.7,6.4,6.8,6.6
Abergement-lès-Thésy (39110),/management/ville/abergement-les-thesy/ville-39004,5.5,5.7,6.0,5.2,5.0,6.8,6.7,5.9,6.1,6.7,6.4,6.8,6.6
Abidos (64150),/management/ville/abidos/ville-64003,7.5,7.3,7.3,6.7,6.1,7.5,7.6,7.4,7.8,8.3,8.3,8.6,8.1
Abilly (37160),/management/ville/abilly/ville-37001,7.6,7.5,7.5,6.8,6.2,7.8,8.0,7.6,8.3,9.2,9.0,9.4,9.1
Abitain (64390),/management/ville/abitain/ville-64004,7.6,7.6,7.3,7.0,6.3,8.0,7.9,7.9,8.7,9.2,8.8,9.2,8.7
Abjat-sur-Bandiat (24300),/management/ville/abjat-sur-bandiat/ville-24001,7.4,7.6,7.7,7.1,6.5,8.2,8.4,8.7,9.7,10.1,10.0,10.5,9.9
Ablain-Saint-Nazaire (62153),/management/ville/ablain-saint-nazaire/ville-62001,7.3,7.5,8.0,7.3,6.8,8.6,8.6,8.6,9.2,9.7,9.3,9.4,8.9
Ablaincourt-Pressoir (80320),/management/ville/ablaincourt-pressoir/ville-80002,7.9,8.4,9.7,8.4,7.7,10.1,10.1,9.5,11.1,12.1,11.4,11.8,11.1
Ablainzevelle (62116),/management/ville/ablainzevelle/ville-62002,7.3,7.5,8.0,7.3,6.8,8.6,8.6,8.6,9.2,9.7,9.3,9.4,8.9
Ablancourt (51240),/management/ville/ablancourt/ville-51001,6.1,6.5,6.9,6.4,5.9,7.8,7.3,7.4,8.3,9.4,8.9,9.0,8.4
Ableiges (95450),/management/ville/ableiges/ville-95002,7.5,7.6,7.3,6.7,5.8,7.4,7.7,7.7,8.2,8.9,8.8,9.0,8.7
Ablis (78660),/management/ville/ablis/ville-78003,5.3,5.4,5.4,4.3,3.8,5.0,5.4,5.2,5.5,5.8,5.6,5.8,5.7
Ablon (14600),/management/ville/ablon/ville-14001,8.6,8.6,8.5,7.5,6.4,8.5,8.5,8.3,8.4,9.6,9.4,9.7,8.7
Ablon-sur-Seine (94480),/management/ville/ablon-sur-seine/ville-94001,9.3,9.3,9.3,8.6,7.1,8.5,8.8,8.9,9.5,10.3,10.5,10.8,10.4
Aboën (42380),/management/ville/aboen/ville-42001,8.3,8.4,8.6,7.6,6.9,9.4,9.0,8.7,9.3,10.0,9.8,10.3,9.8
Aboncourt (54115),/management/ville/aboncourt/ville-54003,7.4,7.6,8.1,7.2,6.5,8.1,8.4,8.2,8.9,9.6,9.2,9.7,9.3
Aboncourt-Gesincourt (70500),/management/ville/aboncourt-gesincourt/ville-70002,6.7,7.4,8.0,7.1,6.6,9.2,8.5,7.9,9.0,10.0,9.8,9.7,8.7
Aboncourt-sur-Seille (57590),/management/ville/aboncourt-sur-seille/ville-57002,7.4,7.6,8.1,7.2,6.5,8.1,8.4,8.2,8.9,9.6,9.2,9.7,9.3
Abondance (74360),/management/ville/abondance/ville-74001,6.7,6.7,6.7,5.9,5.6,7.5,7.8,7.2,7.9,8.4,8.2,8.5,8.0
Abondant (28410),/management/ville/abondant/ville-28001,10.5,10.3,10.5,10.0,8.6,11.0,11.5,11.3,11.8,12.5,12.3,12.5,12.1
Abos (64360),/management/ville/abos/ville-64005,7.5,7.3,7.3,6.7,6.1,7.5,7.6,7.4,7.8,8.3,8.3,8.6,8.1
Abreschviller (57560),/management/ville/abreschviller/ville-57003,6.0,6.1,6.4,5.3,5.1,7.5,7.2,6.7,7.3,8.2,8.0,8.3,7.9
Abrest (03200),/management/ville/abrest/ville-03001,9.0,9.2,9.5,8.7,7.9,10.0,9.9,9.8,10.4,11.1,10.7,11.1,10.7
Abriès (05460),/management/ville/abries/ville-05001,7.5,7.7,7.9,7.9,6.6,7.4,7.4,7.3,8.0,9.0,9.1,9.1,8.5
Abscon (59215),/management/ville/abscon/ville-59002,13.2,13.1,13.3,12.3,11.1,14.6,14.4,13.9,14.5,16.1,15.2,15.5,15.0
Abzac (16500),/management/ville/abzac/ville-16001,8.4,8.6,8.8,8.2,7.6,9.4,9.1,9.2,10.3,10.9,10.3,10.6,10.1
Accolans (25250),/management/ville/accolans/ville-25005,9.4,9.5,10.8,9.4,8.3,11.6,11.2,10.2,11.2,12.5,12.2,12.3,11.3
Accons (07160),/management/ville/accons/ville-07001,8.4,8.5,8.3,7.6,7.1,8.7,8.7,8.5,9.5,10.2,9.7,10.2,9.9
Accous (64490),/management/ville/accous/ville-64006,6.5,6.1,6.5,5.9,6.1,7.6,6.9,6.7,7.2,7.4,7.3,7.1,6.8
